Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_PA04_MemberB_Plots_Reservations,,Official PA04 Member B suite - 14 API cases,,21-08-2026 20:49:43,21-08-2026 20:49:47,3.379s,PASSED
,,,,,,,
Test Cases/TC-PLOT-01_Browse_Public_Plot_List,,,,21-08-2026 20:49:44,21-08-2026 20:49:44,0.685s,PASSED
"response = sendRequest(findTestObject(""API_Plots_GetPublicList""))",,,,21-08-2026 20:49:44,21-08-2026 20:49:44,0.367s,PASSED
"verifyResponseStatusCode(response, 200)",,,,21-08-2026 20:49:44,21-08-2026 20:49:44,0.013s,PASSED
json = JsonSlurper().parseText(response.getResponseBodyContent()),,,,21-08-2026 20:49:44,21-08-2026 20:49:44,0.013s,PASSED
"assert success == true : ""success phải bằng true""",,,,21-08-2026 20:49:44,21-08-2026 20:49:44,0.007s,PASSED
"assert data instanceof java.util.List : ""data phải là danh sách""",,,,21-08-2026 20:49:44,21-08-2026 20:49:44,0.001s,PASSED
"assert data.size() > 0 : ""Danh sách lô đất không được rỗng""",,,,21-08-2026 20:49:44,21-08-2026 20:49:44,0.002s,PASSED
data.each({ java.lang.Object plot -> ... }),,,,21-08-2026 20:49:44,21-08-2026 20:49:44,0.006s,PASSED
println(TC-PLOT-01: tìm thấy $json.data.size() lô đất),,,,21-08-2026 20:49:44,21-08-2026 20:49:44,0.011s,PASSED
"println(Lô đầu tiên: id=$json.data[0].id, plotCode=$json.data[0].plotCode, status=$json.data[0].status)",,,,21-08-2026 20:49:44,21-08-2026 20:49:44,0.004s,PASSED
,,,,,,,
Test Cases/TC-PLOT-02_Admin_Search_Filter_Paginate,,PA04 automated API test,PA04,21-08-2026 20:49:44,21-08-2026 20:49:45,0.329s,PASSED
"token = ApiTestHelper.login(""admin@cemetery.vn"")",,,,21-08-2026 20:49:44,21-08-2026 20:49:45,0.191s,PASSED
"page1Response = ApiTestHelper.send(""GET"", ""/admin/plots?search=A-01&status=available&zoneId=1&page=1&pageSize=2&sortBy=id&sortOrder=asc"", null, token)",,,,21-08-2026 20:49:45,21-08-2026 20:49:45,0.029s,PASSED
"verifyResponseStatusCode(page1Response, 200)",,,,21-08-2026 20:49:45,21-08-2026 20:49:45,0.004s,PASSED
