budget_match_score,zone_match,preferred_direction_match,bazi_direction_match,adjacency_score,plot_type_match,number_of_plots_match,area_match_score,price_to_budget_ratio,historical_acceptance_rate,label_selected
0.98,1,1,1,1,1,1,0.95,0.88,0.75,1
0.95,1,1,0,1,1,1,0.90,0.92,0.70,1
0.92,1,0,0,1,1,1,0.86,0.82,0.68,1
0.90,1,1,0,0.8,1,1,0.82,0.85,0.65,1
0.88,1,1,1,1,0.8,1,0.78,0.80,0.62,1
0.86,0.8,1,0,1,1,1,0.88,0.77,0.60,1
0.84,1,0.8,0,1,1,1,0.75,0.72,0.58,1
0.82,1,1,0,1,0.8,1,0.72,0.70,0.55,1
0.80,0.8,1,1,1,1,1,0.80,0.68,0.52,1
0.78,1,1,0,0.8,1,1,0.74,0.66,0.50,1
0.76,1,0.8,0,1,1,1,0.70,0.64,0.48,1
0.74,0.8,1,0,1,1,1,0.76,0.62,0.46,1
0.72,1,1,0,1,0.8,1,0.68,0.60,0.44,1
0.70,1,0.8,1,1,1,1,0.66,0.58,0.42,1
0.68,0.8,1,0,1,1,1,0.64,0.56,0.40,1
0.58,0,0,0,0,0,0,0.40,1.00,0.30,0
0.55,0,0,0,0,0,0,0.35,0.98,0.28,0
0.52,0.2,0,0,0,0,0,0.30,0.96,0.26,0
0.50,0,0.2,0,0,0,0,0.25,0.94,0.24,0
0.48,0,0,0,0.2,0,0,0.20,0.92,0.22,0
0.45,0.2,0,0,0,0.2,0,0.35,0.90,0.20,0
0.42,0,0.2,0,0,0,0.2,0.30,0.88,0.18,0
0.40,0,0,0,0,0,0,0.25,0.86,0.16,0
0.38,0.2,0,0,0,0,0,0.20,0.84,0.14,0
0.35,0,0,0,0,0.2,0,0.15,0.82,0.12,0
0.32,0,0.2,0,0,0,0,0.10,0.80,0.10,0
0.30,0,0,0,0.2,0,0,0.12,0.78,0.08,0
0.28,0.2,0,0,0,0,0.2,0.18,0.76,0.06,0
0.25,0,0,0,0,0,0,0.08,0.74,0.04,0
0.20,0,0,0,0,0,0,0.05,0.72,0.02,0
